INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Conway School of Landscape Design,Northampton,MA,1060,1,1,-72.64875,42.313857
Curry College,Milton,MA,02186-2395,2,2,-71.116539,42.238061
Dean College,Franklin,MA,02038-1941,2,2,-71.397813,42.085634
Diman Regional Technical Institute,Fall River,MA,2720,-2,1,-71.155011,41.718422
National Aviation Academy of New England,Concord,MA,1742,-2,1,-71.387244,42.462164
Eastern Nazarene College,Quincy,MA,02170-2999,2,1,-71.011079,42.271228
Emerson College,Boston,MA,02116-4624,3,3,-71.065384,42.352202
Emmanuel College,Boston,MA,2115,2,2,-71.103634,42.340602
Endicott College,Beverly,MA,1915,3,2,-70.840847,42.553296
Rob Roy Academy-Fall River,Fall River,MA,02721-5330,-2,1,-71.157664,41.698905
Fisher College,Boston,MA,2116,2,2,-71.074125,42.355253
Fitchburg State University,Fitchburg,MA,01420-2697,3,3,-71.789666,42.588298
Framingham State University,Framingham,MA,01701-9101,3,2,-71.437565,42.297116
Benjamin Franklin Cummings Institute of Technology,Boston,MA,2116,2,1,-71.070231,42.346023
Gordon College,Wenham,MA,1984,2,2,-70.82151,42.590567
Gordon-Conwell Theological Seminary,South Hamilton,MA,1982,2,2,-70.846387,42.613475
Greenfield Community College,Greenfield,MA,01301-9739,2,2,-72.630977,42.599512
Hampshire College,Amherst,MA,01002-5001,2,1,-72.531469,42.325852
Harvard University,Cambridge,MA,2138,4,5,-71.118313,42.374471
Hebrew College,Newton,MA,02466-3008,1,1,-71.241226,42.335716
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,02445-7415,1,1,-71.129418,42.317018
College of the Holy Cross,Worcester,MA,01610-2395,2,2,-71.808214,42.23752
Holyoke Community College,Holyoke,MA,1040,3,2,-72.651252,42.194781
Lasell University,Newton,MA,2466,2,2,-71.24347,42.342148
Lawrence Memorial Hospital School of Nursing,Medford,MA,2155,1,1,-71.110958,42.42581
Lesley University,Cambridge,MA,02138-2790,3,2,-71.117303,42.38012
Longy School of Music of Bard College,Cambridge,MA,2138,1,1,-71.123479,42.378657
Lowell Academy Hairstyling Institute,Lowell,MA,01852-1909,-2,1,-71.308309,42.643609
University of Massachusetts-Lowell,Lowell,MA,1854,4,4,-71.326809,42.652864
University of Massachusetts-Amherst,Amherst,MA,1003,4,5,-72.526728,42.385999
University of Massachusetts-Boston,Boston,MA,02125-3393,3,4,-71.036865,42.312881
Massachusetts Bay Community College,Wellesley Hills,MA,02481-5399,3,2,-71.263458,42.31212
MCPHS University,Boston,MA,02115-5896,3,3,-71.101244,42.336825
University of Massachusetts-Central Office,Boston,MA,2108,-2,-2,-71.060761,42.35849
Massachusetts College of Art and Design,Boston,MA,02115-5882,2,2,-71.099275,42.336862
Massachusetts Institute of Technology,Cambridge,MA,02139-4301,3,4,-71.093226,42.359243
Massachusetts Maritime Academy,Buzzards Bay,MA,02532-1803,2,2,-70.624084,41.739072
University of Massachusetts Chan Medical School,Worcester,MA,1655,2,2,-71.762144,42.278002
William James College,Newton,MA,2459,2,1,-71.203256,42.294995
Massachusetts School of Barbering,Quincy,MA,2169,-2,1,-71.001891,42.247457
Massasoit Community College,Brockton,MA,02302-3996,3,3,-70.989799,42.07507
Merrimack College,North Andover,MA,1845,3,3,-71.124216,42.668344
MGH Institute of Health Professions,Boston,MA,02129-4557,2,2,-71.054002,42.375018
Middlesex Community College,Bedford,MA,01730-9124,3,3,-71.274931,42.524328
Montserrat College of Art,Beverly,MA,01915-4508,1,1,-70.876131,42.550212
Mount Holyoke College,South Hadley,MA,01075-1489,2,2,-72.573916,42.25489
Mount Wachusett Community College,Gardner,MA,01440-1000,3,2,-71.984148,42.593142
Rob Roy Academy-New Bedford,New Bedford,MA,02746-2114,-2,1,-70.925187,41.671921
The New England Conservatory of Music,Boston,MA,02115-5018,2,1,-71.08629,42.340946
New England College of Optometry,Boston,MA,2115,2,1,-71.086829,42.351853
New England Law-Boston,Boston,MA,2116,2,2,-71.0665,42.350833
Nichols College,Dudley,MA,01571-5000,2,2,-71.930283,42.044033
Massachusetts College of Liberal Arts,North Adams,MA,01247-4100,2,1,-73.102817,42.691361
North Bennet Street School,Boston,MA,2109,-2,1,-71.05452,42.36279
North Shore Community College,Danvers,MA,01923-0840,3,3,-70.968044,42.590103
Northeastern University,Boston,MA,02115-5005,4,5,-71.088782,42.339992
Northern Essex Community College,Haverhill,MA,01830-2399,3,2,-71.04904,42.796634
College of Our Lady of the Elms,Chicopee,MA,1013,2,2,-72.60154,42.141781
Pope St John XXIII National Seminary,Weston,MA,02493-2699,1,1,-71.311059,42.339408
Quincy College,Quincy,MA,2169,3,2,-71.003476,42.252416
Quinsigamond Community College,Worcester,MA,01606-2092,3,3,-71.79503,42.31379
Regis College,Weston,MA,02493-1571,3,2,-71.310561,42.351291
Roxbury Community College,Roxbury Crossing,MA,02120-3400,2,2,-71.09549,42.329249
Saint John's Seminary,Brighton,MA,02135-3846,1,1,-71.161998,42.344146
Salem State University,Salem,MA,1970,3,3,-70.890234,42.503575
Simmons University,Boston,MA,02115-5898,3,2,-71.099967,42.3393
Bard College at Simon's Rock,Great Barrington,MA,01230-9702,1,1,-73.379201,42.208803
Smith College,Northampton,MA,1063,2,2,-72.638097,42.318111
Southeastern Technical Institute,South Easton,MA,2375,-2,1,-71.081227,42.010312
Springfield College,Springfield,MA,01109-3739,2,2,-72.556647,42.1022
Springfield Technical Community College,Springfield,MA,01105-1296,3,3,-72.578514,42.108827
University of Massachusetts-Dartmouth,North Dartmouth,MA,02747-2300,3,3,-71.004552,41.62869
Stonehill College,Easton,MA,02357-6110,2,2,-71.080632,42.05905
Suffolk University,Boston,MA,02108-3901,3,3,-71.060917,42.357945
Rob Roy Academy-Taunton,Taunton,MA,02780-3212,-2,1,-71.091966,41.901945
Tufts University,Medford,MA,02155-5555,3,4,-71.118293,42.40855
Wellesley College,Wellesley,MA,02481-8203,2,2,-71.306605,42.291554
Wentworth Institute of Technology,Boston,MA,2115,3,2,-71.094983,42.336632
Western New England University,Springfield,MA,01119-2684,2,2,-72.520466,42.115017
Westfield State University,Westfield,MA,01086-1630,3,2,-72.796503,42.132698
Wheaton College (Massachusetts),Norton,MA,02766-2322,2,2,-71.183979,41.966637
Williams College,Williamstown,MA,1267,2,2,-73.203132,42.712725
Worcester Polytechnic Institute,Worcester,MA,01609-2280,3,3,-71.808339,42.274853
Worcester State University,Worcester,MA,01602-2597,3,3,-71.844018,42.267526
Adrian College,Adrian,MI,49221-2575,2,2,-84.061481,41.898591
Albion College,Albion,MI,49224,2,2,-84.745639,42.245049
Hillsdale Beauty College,Hillsdale,MI,49242,-2,1,-84.631429,41.918718
Northwestern Technological Institute,Southfield,MI,48075,-2,1,-83.238868,42.4721
Alma College,Alma,MI,48801-1599,2,2,-84.672053,43.38004
Alpena Community College,Alpena,MI,49707,2,2,-83.445069,45.081647
Andrews University,Berrien Springs,MI,49104,3,2,-86.355815,41.963859
Aquinas College,Grand Rapids,MI,49506-1801,2,2,-85.628785,42.96019
Baker College,Owosso,MI,48867-8956,3,2,-84.172404,42.984804
Bay de Noc Community College,Escanaba,MI,49829-2511,2,2,-87.085228,45.772586
Bayshire Academy of Beauty Craft Inc,Bay City,MI,48708-5614,-2,1,-83.88895,43.599758
Calvin University,Grand Rapids,MI,49546,2,2,-85.587548,42.929916
Calvin Theological Seminary,Grand Rapids,MI,49546-4387,1,1,-85.586439,42.927951
Carnegie Institute,Troy,MI,48083,-2,1,-83.118801,42.53889
Michigan School of Psychology,Farmington Hills,MI,48334-4512,1,1,-83.359575,42.491427
Central Michigan University,Mount Pleasant,MI,48859,3,4,-84.77525,43.591203
Mott Community College,Flint,MI,48503-2089,3,3,-83.67243,43.019941
Empire Beauty School-Michigan,Grand Rapids,MI,49544,-2,1,-85.691067,43.028642
Cleary University,Howell,MI,48843,2,2,-83.879987,42.586638
Concordia University Ann Arbor,Ann Arbor,MI,48105,2,2,-83.68268,42.273157
Cranbrook Academy of Art,Bloomfield Hills,MI,48304,1,1,-83.250681,42.568904
College for Creative Studies,Detroit,MI,48202,2,2,-83.062352,42.361839
Davenport University,Grand Rapids,MI,49512-9396,3,2,-85.533519,42.850013
David Pressley School of Cosmetology,Royal Oak,MI,48067-3219,-2,1,-83.146008,42.479729
Delta College,University Center,MI,48710,3,3,-83.985943,43.559491
Detroit Business Institute-Downriver,Riverview,MI,48193,-2,1,-83.191212,42.168682
Universal Technical Institute-Canton,Canton,MI,48188,2,2,-83.445507,42.286324
University of Detroit Mercy,Detroit,MI,48221-3038,3,3,-83.139158,42.414222
Dorsey College,Madison Heights,MI,48071,-2,1,-83.107631,42.525318
Eastern Michigan University,Ypsilanti,MI,48197,3,4,-83.627443,42.251675
Creative Hair School of Cosmetology,Flint,MI,48507,-2,1,-83.757927,42.980416
Ferris State University,Big Rapids,MI,49307-2251,3,3,-85.481925,43.687724
Glen Oaks Community College,Centreville,MI,49032-9719,2,2,-85.496929,41.892504
Kettering University,Flint,MI,48504-6214,2,2,-83.71282,43.012468
Gogebic Community College,Ironwood,MI,49938,2,1,-90.165592,46.471893
Grace Christian University,Wyoming,MI,49509,2,2,-85.692077,42.919541
Cornerstone University,Grand Rapids,MI,49525-5897,2,2,-85.595328,42.979966
Grand Rapids Community College,Grand Rapids,MI,49503-3295,3,4,-85.665625,42.967076
Grand Valley State University,Allendale,MI,49401-9403,4,5,-85.889826,42.963001
Great Lakes Christian College,Lansing,MI,48917-1299,1,1,-84.638714,42.754249
Henry Ford College,Dearborn,MI,48128-1495,3,4,-83.236056,42.324639
Hillsdale College,Hillsdale,MI,49242,2,2,-84.633195,41.933682
Hope College,Holland,MI,49423-9000,2,2,-86.100971,42.787247
Jackson College,Jackson,MI,49201-8399,3,3,-84.403942,42.16483
Kalamazoo College,Kalamazoo,MI,49006-3295,2,2,-85.601857,42.290789
Kalamazoo Valley Community College,Kalamazoo,MI,49003-4070,3,3,-85.682144,42.225948
Kellogg Community College,Battle Creek,MI,49017-3397,3,2,-85.177329,42.335638
Kirtland Community College,Grayling,MI,49738,2,2,-84.706254,44.601785
Michigan College of Beauty-Monroe,Monroe,MI,48161,-2,1,-83.407005,41.907014
Lake Michigan College,Benton Harbor,MI,49022-1899,3,2,-86.393445,42.097276
Lake Superior State University,Sault Ste Marie,MI,49783,2,2,-84.365573,46.492849
Lansing Community College,Lansing,MI,48933,3,3,-84.55157,42.738435
Lawrence Technological University,Southfield,MI,48075-1058,2,2,-83.25003,42.474072
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,48858,-2,1,-84.777927,43.60429
Macomb Community College,Warren,MI,48088-3896,4,4,-82.972377,42.50599
Madonna University,Livonia,MI,48150-1176,2,2,-83.404722,42.384323
Rochester University,Rochester Hills,MI,48307,2,2,-83.144959,42.667521
University of Michigan-Ann Arbor,Ann Arbor,MI,48109,5,5,-83.73481,42.278374
The Michigan Barber School,Detroit,MI,48204-2244,-2,1,-83.128883,42.365023
Michigan State University,East Lansing,MI,48824-1046,5,5,-84.476111,42.73212
Michigan Technological University,Houghton,MI,49931-1295,3,3,-88.548092,47.11866
University of Michigan-Dearborn,Dearborn,MI,48128-1491,3,3,-83.231417,42.317287
University of Michigan-Flint,Flint,MI,48502-1950,3,3,-83.690276,43.01875
Mid Michigan College,Harrison,MI,48625-9447,2,2,-84.763715,43.969586
Monroe County Community College,Monroe,MI,48161-9746,2,2,-83.470274,41.91617
Montcalm Community College,Sidney,MI,48885-9723,2,2,-85.100181,43.253191
Muskegon Community College,Muskegon,MI,49442-1432,3,2,-86.196384,43.250329
North Central Michigan College,Petoskey,MI,49770,2,2,-84.954183,45.361727
Northern Michigan University,Marquette,MI,49855-5301,3,3,-87.406568,46.559751
Northwestern Michigan College,Traverse City,MI,49686,2,2,-85.585517,44.765436
Northwood University,Midland,MI,48640-2398,2,2,-84.27682,43.628717
Oakland Community College,Auburn Hills,MI,48326-2845,4,4,-83.224283,42.646226
Oakland University,Rochester Hills,MI,48309-4401,3,4,-83.216418,42.674573
The University of Olivet,Olivet,MI,49076,2,1,-84.923891,42.442891
Port Huron Cosmetology College,Waterford,MI,48329,-2,1,-83.398624,42.700677
Kuyper College,Grand Rapids,MI,49525-9781,1,1,-85.592657,43.02195
Ross Medical Education Center-Lansing,Lansing,MI,48917-2108,-2,1,-84.605807,42.741855
Ross Medical Education Center-Warren,Warren,MI,48092-4141,-2,1,-83.065785,42.506481
Ross Medical Education Center-Flint,Flint,MI,48507-1234,-2,1,-83.751751,42.986442
Sacred Heart Major Seminary,Detroit,MI,48206-1799,2,1,-83.111682,42.375248
Saginaw Valley State University,University Center,MI,48710,3,3,-83.964273,43.51176
Schoolcraft Community College District,Livonia,MI,48152-2696,3,3,-83.430958,42.419279
Siena Heights University,Adrian,MI,49221,2,2,-84.018841,41.905624
St Clair County Community College,Port Huron,MI,48061-5015,3,2,-82.428717,42.979494
Southwestern Michigan College,Dowagiac,MI,49047-9793,2,2,-86.082715,41.965095
Spring Arbor University,Spring Arbor,MI,49283-9799,2,2,-84.556074,42.206568
Michigan Career and Technical Institute,Plainwell,MI,49080-9254,-2,1,-85.517049,42.504599
Thomas M Cooley Law School,Lansing,MI,48933,2,1,-84.554429,42.731
Twin City Beauty College,Saint Joseph,MI,49085,-2,1,-86.47655,42.071099
Walsh College,Troy,MI,48083-5066,2,1,-83.147197,42.573888
Washtenaw Community College,Ann Arbor,MI,48105-4800,3,4,-83.66559,42.26361
Wayne County Community College District,Detroit,MI,48226,3,4,-83.054497,42.327299
Wayne State University,Detroit,MI,48202,4,5,-83.068998,42.358994
West Shore Community College,Scottville,MI,49454-0277,2,2,-86.336122,44.008512
Paul Mitchell the School-Grand Rapids,Kentwood,MI,49512-1781,-2,1,-85.596605,42.910707
Western Michigan University,Kalamazoo,MI,49008-5200,4,4,-85.613759,42.282194
Western Theological Seminary,Holland,MI,49423-3622,1,1,-86.10324,42.786246
Academy College,Bloomington,MN,55431-1411,1,1,-93.299809,44.855722
Alexandria Technical & Community College,Alexandria,MN,56308,2,2,-95.372369,45.873107
Anoka Technical College,Anoka,MN,55303,2,2,-93.416087,45.216709
Anoka-Ramsey Community College,Coon Rapids,MN,55433-3470,3,3,-93.351697,45.172978
Augsburg University,Minneapolis,MN,55454,2,2,-93.240436,44.966307
Riverland Community College,Austin,MN,55912-1473,3,2,-92.995626,43.676271
Northwest Technical College,Bemidji,MN,56601-4907,2,1,-94.853974,47.452652
Bemidji State University,Bemidji,MN,56601,3,2,-94.874119,47.482341
Bethany Lutheran College,Mankato,MN,56001,2,1,-93.990805,44.166649
Bethel University,Saint Paul,MN,55112,3,2,-93.161663,45.057655
Central Lakes College-Brainerd,Brainerd,MN,56401-3900,3,2,-94.216495,46.345969
Carleton College,Northfield,MN,55057,2,2,-93.154666,44.462318
Concordia College at Moorhead,Moorhead,MN,56562,2,2,-96.76749,46.862482
Concordia University-Saint Paul,Saint Paul,MN,55104-5494,3,3,-93.154861,44.949759
Dakota County Technical College,Rosemount,MN,55068-2999,2,2,-93.07805,44.737255
Martin Luther College,New Ulm,MN,56073-3965,2,1,-94.472326,44.30526
Lake Superior College,Duluth,MN,55811-3399,3,2,-92.145151,46.78455
Minnesota State Community and Technical College,Fergus Falls,MN,56537-1000,3,3,-96.097321,46.289194
Minnesota West Community and Technical College,Granite Falls,MN,56241,3,2,-95.56172,44.80755
Gustavus Adolphus College,Saint Peter,MN,56082-1498,2,2,-93.972196,44.323626
Hamline University,Saint Paul,MN,55104-1284,2,2,-93.164479,44.966246
Hazelden Betty Ford Graduate School,Center City,MN,55012-0011,1,1,-92.805285,45.375319
Hennepin Technical College,Brooklyn Park,MN,55445,3,2,-93.397759,45.096534
Minnesota North College,Hibbing,MN,55746,2,2,-92.921698,47.422361
Aveda Arts & Sciences Institute Minneapolis,Minneapolis,MN,55414,-2,1,-93.253555,44.987972
Inver Hills Community College,Inver Grove Heights,MN,55076-3224,3,2,-93.055255,44.828599
Luther Seminary,Saint Paul,MN,55108,1,1,-93.196422,44.984629
Macalester College,Saint Paul,MN,55105-1899,2,2,-93.168053,44.938565
South Central College,North Mankato,MN,56003-1920,3,2,-94.047428,44.174319
Minnesota State University-Mankato,Mankato,MN,56001,3,4,-93.99945,44.146712
Mayo Clinic College of Medicine and Science,Rochester,MN,55905,2,2,-92.466428,44.02215
Metropolitan State University,Saint Paul,MN,55106-5000,3,3,-93.074361,44.957256
University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,5,5,-93.235464,44.972851
University of Minnesota-Crookston,Crookston,MN,56716-5001,2,2,-96.606188,47.802536
Minneapolis College of Art and Design,Minneapolis,MN,55404,2,1,-93.274705,44.956988
Minneapolis Community and Technical College,Minneapolis,MN,55403-1779,3,3,-93.284507,44.972679
Herzing University-Minneapolis,St. Louis Park,MN,55426,2,1,-93.404863,44.975225
Nova Academy of Cosmetology Woodbury,WOODBURY,MN,55125,-2,1,-92.973998,44.924692
University of Minnesota-Duluth,Duluth,MN,55812,3,3,-92.084385,46.817126
University of Minnesota-Morris,Morris,MN,56267,2,1,-95.899729,45.589775
Model College of Hair Design,Saint Cloud,MN,56301-4332,-2,1,-94.159447,45.55773
Minnesota State University Moorhead,Moorhead,MN,56563,3,2,-96.759532,46.867153
North Hennepin Community College,Brooklyn Park,MN,55445,3,3,-93.374536,45.106937
Normandale Community College,Bloomington,MN,55431-4399,3,4,-93.331673,44.829706
North Central University,Minneapolis,MN,55404-1391,2,1,-93.261511,44.968625
Northland Community and Technical College,Thief River Falls,MN,56701,2,2,-96.162366,48.124969
University of Northwestern-St Paul,Saint Paul,MN,55113-1598,2,2,-93.167822,45.033703
Northwestern Health Sciences University,Bloomington,MN,55431,2,2,-93.311222,44.850963
Oak Hills Christian College,Bemidji,MN,56601-8834,1,1,-94.901503,47.425836
Pine Technical & Community College,Pine City,MN,55063,2,2,-92.968283,45.818667
Rochester Community and Technical College,Rochester,MN,55904-4999,3,3,-92.42321,44.014488
College of Saint Benedict,Saint Joseph,MN,56374,2,2,-94.319888,45.561792
